area_id,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E09000002,3561,3054,11.71019377,14.89849378,13.73209773,28.48722986
E09000003,4177,3639,10.98874791,14.81176147,8.16375389,19.62077494
E09000004,3184,2697,14.57286432,15.68409344,10.99246231,22.6177234
E09000005,3818,3540,11.15767417,15.4519774,10.55526454,24.15254237
E09000006,3815,3220,12.5819135,13.35403727,8.020969856,16.18012422
E09000007,1592,1415,11.18090452,16.18374558,9.045226131,21.6254417
E09000008,4662,3985,11.3041613,14.20326223,10.21021021,24.71769134
E09000009,4233,3576,12.00094496,14.68120805,10.55988661,23.93736018
E09000010,4303,3886,12.43318615,15.8003088,11.87543574,25.70766855
E09000011,3646,3067,14.28963247,16.04173459,13.11025782,26.83403978
E09000012,2721,2462,12.12789416,15.88139724,12.60565968,27.37611698
E09000013,1275,1212,12.15686275,13.61386139,9.098039216,20.95709571
E09000014,2748,2481,11.89956332,14.38935913,11.68122271,24.02257154
E09000015,2999,2506,9.236412137,15.48284118,8.402800934,20.43096568
E09000016,3045,2665,12.4137931,15.30956848,10.77175698,21.95121951
E09000017,4144,3295,10.32818533,15.9939302,9.459459459,21.24430956
E09000018,3465,2774,10.44733045,15.03244412,10.27417027,24.33309301
E09000019,1879,1497,12.18733369,15.03006012,10.27142097,21.50968604
E09000020,723,701,15.07607192,14.40798859,10.2351314,19.97146933
E09000021,1889,1661,8.840656432,12.76339554,5.505558497,16.97772426
E09000022,2880,2513,12.29166667,16.27536809,11.07638889,23.15957023
E09000023,3699,2986,12.27358746,13.79772271,10.19194377,24.4474213
E09000024,2229,1793,11.03633917,14.83547128,7.806191117,19.85499163
E09000025,4472,4056,12.29874776,15.60650888,12.25402504,27.49013807
E09000026,3773,3487,9.302941956,15.60080298,9.833024119,23.51591626
E09000027,2215,1683,10.9255079,11.942959,5.056433409,10.9922757
E09000028,3286,2865,13.02495435,15.32286213,12.17285453,26.73647469
E09000029,2348,2031,10.86030664,13.29394387,7.112436116,18.46381093
E09000030,3190,2792,10.53291536,14.07593123,11.69278997,26.8982808
E09000031,3458,2853,12.78195489,14.09043113,10.93117409,26.07781283
E09000032,2688,1928,11.60714286,14.8340249,7.626488095,18.04979253
E09000033,1283,1200,12.39282931,14.83333333,11.30163679,24.83333333
